name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
SAMSUNG SMARTPHONE GALAXYA56 5G 8G256GB GRAPHITE SAMSUNG,samsung,Unknown,4799.0,5249.0,DH,9%,,,https://www.electroplanet.ma/p3080814-smartphone-galaxya56-5g-8g256gb-graphite-samsung.html,electroplanet,2026-04-21T19:42:43.774715
SAMSUNG SMARTPHONE GALAXYA56 5G 8G256GB OLIVE SAMSUNG,samsung,Unknown,4799.0,5249.0,DH,9%,,,https://www.electroplanet.ma/p3080813-smartphone-galaxya56-5g-8g256gb-olive-samsung.html,electroplanet,2026-04-21T19:42:47.764121
SAMSUNG SMARTPHONE GALAXYA56 5G 8G256GB LIGHTGRAY SAMSUNG,samsung,Unknown,4799.0,5249.0,DH,9%,,,https://www.electroplanet.ma/p3080812-smartphone-galaxya56-5g-8g256gb-lightgray-samsung.html,electroplanet,2026-04-21T19:42:49.959329
SAMSUNG SMARTPHONE GALAXYA56 5G 8G256GB PINK SAMSUNG,samsung,Unknown,4799.0,5249.0,DH,9%,,,https://www.electroplanet.ma/p3080811-smartphone-galaxya56-5g-8g256gb-pink-samsung.html,electroplanet,2026-04-21T19:42:54.604678
SAMSUNG SMARTPHONE GALAXYA56 5G 8G128GB GRAPHITE SAMSUNG,samsung,Unknown,4549.0,4990.0,DH,9%,,,https://www.electroplanet.ma/p3080810-smartphone-galaxya56-5g-8g128gb-graphite-samsung.html,electroplanet,2026-04-21T19:42:56.860534
SAMSUNG SMARTPHONE GALAXYA56 5G 8G128GB OLIVE SAMSUNG,samsung,Unknown,4549.0,4990.0,DH,9%,,,https://www.electroplanet.ma/p3080809-smartphone-galaxya56-5g-8g128gb-olive-samsung.html,electroplanet,2026-04-21T19:42:59.455336
SAMSUNG SMARTPHONE GALAXYA56 5G 8G128GB LIGHTGRAY SAMSUNG,samsung,Unknown,4549.0,4990.0,DH,9%,,,https://www.electroplanet.ma/p3080808-smartphone-galaxya56-5g-8g128gb-lightgray-samsung.html,electroplanet,2026-04-21T19:43:01.932062
SAMSUNG SMARTPHONE GALAXYA56 5G 8G128GB PINK SAMSUNG,samsung,Unknown,4549.0,4990.0,DH,9%,,,https://www.electroplanet.ma/p3080807-smartphone-galaxya56-5g-8g128gb-pink-samsung.html,electroplanet,2026-04-21T19:43:05.389577
SAMSUNG SMARTPHONE GALAXYA36 5G 8G256GB BLACK SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080806-smartphone-galaxya36-5g-8g256gb-black-samsung.html,electroplanet,2026-04-21T19:43:07.544783
SAMSUNG SMARTPHONE GALAXYA36 5G 8G256GB LIME SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080803-smartphone-galaxya36-5g-8g256gb-lime-samsung.html,electroplanet,2026-04-21T19:43:20.177881
