name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
"Samsung Galaxy A55 - 6,6"" - 8GB RAM + 256GB ROM -  Jaune",samsung,A55,5749.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a55-66-8gb-ram-256gb-rom-jaune-64936789.html,jumia_ma,2026-04-21T19:26:39.458339
Samsung Galaxy A17 4RAM 128 stockage smartphone élégan,samsung,Unknown,1936.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a17-4ram-128-stockage-smartphone-elegan-67540674.html,jumia_ma,2026-04-21T19:26:39.458818
"Samsung Galaxy S25+ - 6.7""- 12+512GB - Mint",samsung,S25+,14490.0,Dhs,,,,,https://www.jumia.ma/galaxy-s25-6.7-12512gb-silver-shadow-samsung-mpg1515600.html,jumia_ma,2026-04-21T19:26:39.459312
"Samsung Galaxy A05s – Smartphone 4G – 4 Go RAM + 128 Go ROM – Écran 6,7"" FHD+ – Batterie 5000 mAh – Double SIM – Noir+ adaptateur cadeau",samsung,A05,1659.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a05s-smartphone-4g-4-go-ram-128-go-rom-ecran-67-fhd-batterie-5000-mah-double-sim-noir-adaptateur-cadeau-67334949.html,jumia_ma,2026-04-21T19:26:39.459852
"Samsung Galaxy A16 Noir – 128Go stockage, 4Go RAM - Neuf – Smartphone rapide et élégant",samsung,Unknown,1650.0,Dhs,2199.0,25%,,,https://www.jumia.ma/samsung-galaxy-a16-noir-128go-stockage-4go-ram-neuf-smartphone-rapide-et-elegant-67763190.html,jumia_ma,2026-04-21T19:26:39.460472
"Samsung Galaxy S25+ - 6.7""- 12+256GB - Mint",samsung,S25+,12990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-6.7-12256gb-mint-66067187.html,jumia_ma,2026-04-21T19:26:39.460935
Samsung Galaxy A17  128 G Noir Smartphone Puissant,samsung,Unknown,1989.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a17-128-g-noir-smartphone-puissant-67540700.html,jumia_ma,2026-04-21T19:26:39.461380
"Samsung Galaxy A56 - 6.7"" – 8GB + 256GB – Awesome Pink",samsung,Unknown,5749.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a56-6.7-8gb-256gb-awesome-pink-66392779.html,jumia_ma,2026-04-21T19:26:39.461852
"Samsung Galaxy A16 6.7"" 4G LTE (6GB RAM + 128GB ROM) - 50 Mpx + Adapter - noir",samsung,Unknown,1990.0,Dhs,2099.0,5%,,,https://www.jumia.ma/samsung-galaxy-a16-6.7-4g-lte-6gb-ram-128gb-rom-50-mpx-adapter-noir-67120059.html,jumia_ma,2026-04-21T19:26:39.462365
Samsung Galaxy A26 5G – 256 Go ROM – 8 Go RAM – White – Double SIM,samsung,Unknown,2869.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a26-5g-256-go-rom-8-go-ram-white-double-sim-67766862.html,jumia_ma,2026-04-21T19:26:39.462807
Samsung GALAXY A36 128G 6G RAM 6.5 FHD+,samsung,Unknown,3000.0,Dhs,3700.0,19%,,,https://www.jumia.ma/samsung-galaxy-a36-128g-6g-ram-6.5-fhd-67716193.html,jumia_ma,2026-04-21T19:26:39.463304
"Samsung Galaxy A36 5G – 8 Go RAM, 256 Go ROM – Écran 6.5"" FHD+ – Awesome Black – Double SIM",samsung,Unknown,3799.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a36-5g-8-go-ram-256-go-rom-ecran-6.5-fhd-awesome-black-double-sim-67329567.html,jumia_ma,2026-04-21T19:26:39.463794
"Samsung Galaxy A36 - 6.7"" – 8GB + 128GB – Awesome White",samsung,Unknown,3329.0,Dhs,4490.0,26%,,,https://www.jumia.ma/samsung-galaxy-a36-6.7-8gb-128gb-awesome-white-66392312.html,jumia_ma,2026-04-21T19:26:39.464397
"Samsung Galaxy S25+ - 6.7""- 12+256GB - Navy",samsung,S25+,12990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-6.7-12256gb-navy-66067192.html,jumia_ma,2026-04-21T19:26:39.464914
"Samsung A26 5G - Smartphone 5G - 8Go RAM, 256Go ROM - Écran 6.5"" FHD+ 120Hz - Noir - Double SIM+ le chargeur gratuit",samsung,Unknown,3349.0,Dhs,,,1,1,https://www.jumia.ma/samsung-a26-5g-smartphone-5g-8go-ram-256go-rom-ecran-6.5-fhd-120hz-noir-double-sim-le-chargeur-gratuit-67206575.html,jumia_ma,2026-04-21T19:26:39.465450
"Samsung Galaxy A26 - 6.7"" – 6GB + 128GB – Black",samsung,Unknown,3249.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a26-6.7-6gb-128gb-black-66392439.html,jumia_ma,2026-04-21T19:26:39.465948
"Samsung A06 – 6.7"" – 64 Go – 4 Go RAM – Helio G85 – 5000 mAh/25W – 50MP + Adaptateur – Black",samsung,A06,1049.0,Dhs,1399.0,25%,4,5,https://www.jumia.ma/samsung-a06-6.7-64-go-4-go-ram-helio-g85-5000-mah25w-50mp-adaptateur-black-65797927.html,jumia_ma,2026-04-21T19:26:39.466566
"Samsung Galaxy A03 – 6.5"" – 4 Go RAM – 128 Go ROM – 5000 mAh – 48 MP – Dual Sim – Rouge",samsung,Unknown,1690.0,Dhs,,,4,1,https://www.jumia.ma/galaxy-a03-4g-ram-64g-rom-6.5-5000-mah-48mp-dual-sim-rouge-samsung-mpg1395247.html,jumia_ma,2026-04-21T19:26:39.467135
"Samsung Galaxy A07 – Smartphone 4G – 4 Go RAM + 128 Go ROM – Écran 6.7"" HD+ – Batterie 5000 mAh – Double SIM – Noir+ chargeur gratuit",samsung,A07,1849.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a07-smartphone-4g-4-go-ram-128-go-rom-ecran-6.7-hd-batterie-5000-mah-double-sim-noir-chargeur-gratuit-67309743.html,jumia_ma,2026-04-21T19:26:39.467593
Samsung Galaxy S23 Plus 8Go Ram 256 Go Rom - Cream,samsung,S23,9799.0,Dhs,10999.0,11%,,,https://www.jumia.ma/samsung-galaxy-s23-plus-8go-ram-256-go-rom-cream-64721419.html,jumia_ma,2026-04-21T19:26:39.468154
"Samsung Galaxy A26 5G  6.7"" (6GB RAM + 128GB ROM) - 50 Mpx +Noir-Chargeur Rapide 25W Inclus",samsung,Unknown,2790.0,Dhs,3200.0,13%,,,https://www.jumia.ma/galaxy-a26-5g-6.7-6gb-ram-128gb-rom-50-mpx-noir-chargeur-rapide-25w-inclus-samsung-mpg1529049.html,jumia_ma,2026-04-21T19:26:39.468647
"Samsung Galaxy A04s - 6.5""- 128 Go - 4 Go RAM",samsung,Unknown,1200.0,Dhs,1999.0,40%,,,https://www.jumia.ma/samsung-galaxy-a04s-6.5-128-go-4-go-ram-67194718.html,jumia_ma,2026-04-21T19:26:39.469110
